candidate_id,anchor_id,best_sentence_chrf_pp_difference,best_sentence_chrf_pp_ci_low,best_sentence_chrf_pp_ci_high,best_token_f1_difference,best_token_f1_ci_low,best_token_f1_ci_high,best_protected_recall_difference,best_protected_recall_ci_low,best_protected_recall_ci_high,question_mark_retained_difference,question_mark_retained_ci_low,question_mark_retained_ci_high,response_repetition_candidate_only,response_repetition_anchor_only,response_repetition_exact_p
B0,B1,-1.1821480382509837,-1.5619404052683468,-0.8125371566128856,-0.00542002839354157,-0.009598786282512687,-0.0013780288877850246,-0.027682611506140917,-0.04432813510019392,-0.012125484809308348,-0.095,-0.14,-0.055,7,0,0.015625
B2,B1,1.4666434656739602,0.8755945098249537,2.050136000031643,0.009760454762295154,0.001923546163112869,0.017527307215446337,-0.001287438052143934,-0.03503030058177117,0.032881248653307445,0.0,0.0,0.0,0,0,1.0
B3,B1,2.0922308549266093,1.513214803913371,2.6631197563241,0.0146432111220505,0.006858681444650604,0.02247146056005801,0.027391725921137693,-0.005946994182288297,0.06082767722473602,0.0,0.0,0.0,0,0,1.0
B4,B1,-8.779098424406635,-9.554974453521197,-7.976241893449564,-0.11943347964966726,-0.13091313617965056,-0.10796795600945443,-0.19243158801982332,-0.23781526071967243,-0.14768799827623366,-0.005,-0.015,0.0,61,0,8.673617379884035e-19
