speaker_code,rows,groups,g_chrf_pp,g_sacrebleu,g_macro_token_f1,d0_chrf_pp,d0_sacrebleu,d0_macro_token_f1,d1_chrf_pp,d1_sacrebleu,d1_macro_token_f1,d1_minus_d0_chrf_pp
BT,377,115,40.29890597747679,19.09276168330349,0.443834609221066,26.268634288687707,6.923367175450768,0.2658030666952153,31.73658874050046,10.138517183125327,0.33262463238490525,5.467954451812751
HA,429,143,35.123375600169624,17.246008516504016,0.4404645725198406,23.196259719870284,6.546667460160743,0.2669337368850826,26.885954192456502,9.213226749176735,0.31341985151920904,3.6896944725862184
IM,372,94,49.2763308162191,29.531824953761916,0.5418216170088423,31.123656281930888,10.86324458931634,0.3318807150430568,38.27650649183052,17.075382679742823,0.4184948440225662,7.152850209899629
PT,380,107,34.790814727945516,14.903924932076155,0.3641875198901096,21.701767370579535,4.461689286854279,0.2075694783823629,27.04637428405538,7.431551230596223,0.28358000319379867,5.344606913475843
