condition,rows,groups,chrf_pp,sacrebleu,macro_token_f1,empty_outputs,protected_recall,protected_precision,number_agreement,negation_agreement
G,1558,458,39.748315503138656,20.175345976737837,0.4468766677618001,0,0.5712250712250712,0.6067608044501497,0.9518613607188704,0.9011553273427471
D0,1558,458,25.484108182001226,7.20293566051934,0.26768829078890355,0,0.3798967236467236,0.4380081300813008,0.9358151476251605,0.8401797175866496
D1,1558,458,30.8636159303867,10.980620864051414,0.3358774620673223,0,0.45753205128205127,0.4881792896876337,0.9377406931964056,0.8632862644415917
